Tidstämpel,Jag har lärt mig något nytt,Jag har fått en ny idé,Jag har omprövat något,Jag har upplevt konstruktiv friktion ,Jag längtar till nästa fredag
2023-09-29 14.54.27,4,3,3,4,5
2023-09-29 14.55.18,4,3,3,3,5
2023-09-29 14.55.27,3,4,4,3,5
2023-09-29 15.05.54,5,3,2,3,5
2023-09-29 16.11.26,1,2,2,3,5
2023-10-06 15.43.23,5,3,3,4,5
2023-10-06 15.43.32,5,5,4,5,5
2023-10-06 15.43.50,2,4,1,1,5
2023-10-06 15.43.53,5,5,5,5,5
2023-10-06 15.43.54,5,3,4,5,5
2023-10-06 15.44.34,5,4,4,5,5
2023-10-06 15.45.21,3,2,4,4,4
2023-10-06 15.45.44,5,4,3,5,5
2023-10-13 15.49.08,5,5,4,5,5
2023-10-13 15.50.51,5,5,4,5,5
2023-10-13 15.51.34,5,4,2,3,5
2023-10-13 15.53.48,3,2,3,2,5
2023-10-13 15.56.29,4,4,4,4,5
2023-10-13 15.57.34,5,3,1,2,5
2023-10-13 15.59.38,5,5,3,3,5
2023-10-13 16.14.33,4,4,3,4,3